Date,Open,High,Low,Close,Adj Close,Volume
2020-10-29,95368.000000,96688.000000,93387.000000,96582.000000,96582.000000,12704400
2020-10-30,96579.000000,96579.000000,93559.000000,93952.000000,93952.000000,10643200
2020-11-03,93968.000000,96250.000000,93968.000000,95587.000000,95587.000000,10191800
2020-11-04,95992.000000,98296.000000,95987.000000,97811.000000,97811.000000,10704600
2020-11-05,97873.000000,100922.000000,97872.000000,100774.000000,100774.000000,10455300
2020-11-06,100751.000000,100928.000000,99837.000000,100799.000000,100799.000000,8382800
2020-11-09,100954.000000,105147.000000,100954.000000,103913.000000,103913.000000,17410500
2020-11-10,103516.000000,105758.000000,103453.000000,105351.000000,105351.000000,16665200
2020-11-11,105067.000000,105462.000000,104143.000000,104532.000000,104532.000000,10841000
2020-11-12,104810.000000,105019.000000,102034.000000,102175.000000,102175.000000,10860300
2020-11-13,102509.000000,104707.000000,102509.000000,104512.000000,104512.000000,9772100
2020-11-16,104729.000000,106518.000000,104729.000000,106430.000000,106430.000000,11724300
2020-11-17,106430.000000,107810.000000,105847.000000,107229.000000,107229.000000,10311000
2020-11-18,107246.000000,107467.000000,106217.000000,106483.000000,106483.000000,10337300
2020-11-19,106117.000000,106973.000000,105545.000000,106517.000000,106517.000000,8555700
2020-11-23,106050.000000,107495.000000,106050.000000,107379.000000,107379.000000,9686000
2020-11-24,107378.000000,109956.000000,107361.000000,109786.000000,109786.000000,11934800
2020-11-25,109786.000000,110596.000000,109315.000000,110133.000000,110133.000000,8564700
2020-11-26,110133.000000,110245.000000,109418.000000,110227.000000,110227.000000,6166800
2020-11-27,110229.000000,111603.000000,110161.000000,110575.000000,110575.000000,8790300
2020-11-30,110598.000000,110934.000000,108829.000000,108888.000000,108888.000000,19300000
2020-12-01,108897.000000,111840.000000,108897.000000,111335.000000,111335.000000,11324800
2020-12-02,111402.000000,112315.000000,110579.000000,111814.000000,111814.000000,9814300
2020-12-03,111874.000000,113377.000000,111874.000000,112919.000000,112919.000000,11474200
2020-12-04,112294.000000,113864.000000,112294.000000,113682.000000,113682.000000,8892900
2020-12-07,113751.000000,114531.000000,112629.000000,113625.000000,113625.000000,9633900
2020-12-08,113590.000000,114381.000000,112820.000000,113571.000000,113571.000000,8810900
2020-12-09,113799.000000,114020.000000,112567.000000,112722.000000,112722.000000,8431100
2020-12-10,113002.000000,115262.000000,112732.000000,114992.000000,114992.000000,11803600
2020-12-11,115128.000000,115527.000000,113949.000000,115323.000000,115323.000000,8372300
2020-12-14,115137.000000,115740.000000,114431.000000,114975.000000,114975.000000,8190900
2020-12-15,114613.000000,116390.000000,114613.000000,116146.000000,116146.000000,8195100
2020-12-16,116149.000000,118178.000000,115496.000000,117947.000000,117947.000000,9808100
2020-12-17,117864.000000,119027.000000,117856.000000,118157.000000,118157.000000,7701400
2020-12-18,118395.000000,119370.000000,117639.000000,117679.000000,117679.000000,8636000
2020-12-21,118021.000000,118021.000000,114730.000000,116016.000000,116016.000000,10347100
2020-12-22,115825.000000,116903.000000,115648.000000,116348.000000,116348.000000,6947900
2020-12-23,116636.000000,118311.000000,116636.000000,117857.000000,117857.000000,6483300
2020-12-28,117806.000000,119213.000000,117805.000000,119051.000000,119051.000000,7171700
2020-12-29,119130.000000,119861.000000,118750.000000,119475.000000,119475.000000,6769700
2020-12-30,119410.000000,120150.000000,118919.000000,119306.000000,119306.000000,8235700
2021-01-04,119024.000000,120354.000000,118062.000000,118558.000000,118558.000000,8741400
2021-01-05,118835.000000,119790.000000,116756.000000,119223.000000,119223.000000,9257100
2021-01-06,119377.000000,120924.000000,118917.000000,119851.000000,119851.000000,11638200
2021-01-07,119103.000000,121983.000000,119101.000000,121956.000000,121956.000000,11774800
2021-01-08,122387.000000,125324.000000,122386.000000,125077.000000,125077.000000,11085800
2021-01-11,125075.000000,125075.000000,122506.000000,122807.000000,122807.000000,9537600
2021-01-12,123255.000000,124584.000000,123227.000000,123998.000000,123998.000000,8949000
2021-01-13,123996.000000,124032.000000,121016.000000,122040.000000,122040.000000,10291500
2021-01-14,121947.000000,123896.000000,121947.000000,123481.000000,123481.000000,8974400
2021-01-15,123472.000000,123472.000000,120374.000000,120502.000000,120502.000000,9387600
2021-01-18,120351.000000,122586.000000,120351.000000,121242.000000,121242.000000,7223100
2021-01-19,121250.000000,122120.000000,119257.000000,120673.000000,120673.000000,7886000
2021-01-20,120645.000000,121449.000000,118740.000000,119708.000000,119708.000000,7947300
2021-01-21,119628.000000,120243.000000,117785.000000,118443.000000,118443.000000,8573900
2021-01-22,118318.000000,118318.000000,116109.000000,117172.000000,117172.000000,9373100
2021-01-26,117381.000000,119167.000000,116109.000000,116464.000000,116464.000000,10681400
2021-01-27,116463.000000,117840.000000,114887.000000,115882.000000,115882.000000,12380400
2021-01-28,115882.000000,119314.000000,115734.000000,119314.000000,119314.000000,12065900
2021-01-29,118880.000000,118880.000000,115299.000000,116007.000000,116007.000000,10965200
2021-02-01,115093.000000,117862.000000,115093.000000,117365.000000,117365.000000,8716500
2021-02-02,117520.000000,119805.000000,117519.000000,118234.000000,118234.000000,11625900
2021-02-03,118235.000000,120210.000000,118234.000000,119725.000000,119725.000000,8704300
2021-02-04,119728.000000,120560.000000,118918.000000,119261.000000,119261.000000,8100700
2021-02-05,119261.000000,121117.000000,119261.000000,119925.000000,119925.000000,8208400
2021-02-08,120239.000000,120844.000000,119140.000000,119516.000000,119516.000000,8619100
2021-02-09,119696.000000,119975.000000,118246.000000,119429.000000,119429.000000,7913500
2021-02-10,119472.000000,119738.000000,117970.000000,118430.000000,118430.000000,8644600
2021-02-11,118440.000000,120283.000000,118440.000000,119235.000000,119235.000000,7567400
2021-02-12,119300.000000,119763.000000,118163.000000,119116.000000,119116.000000,7655900
2021-02-17,119421.000000,120573.000000,118880.000000,120391.000000,120391.000000,8326100
2021-02-18,120361.000000,120845.000000,118515.000000,119140.000000,119140.000000,10720600
2021-02-19,119199.000000,119250.000000,117867.000000,118748.000000,118748.000000,10402800
2021-02-22,118388.000000,118388.000000,111650.000000,112668.000000,112668.000000,21768700
2021-02-23,112676.000000,115380.000000,112667.000000,115227.000000,115227.000000,15174900
2021-02-24,115229.000000,116208.000000,114668.000000,115668.000000,115668.000000,11399300
2021-02-25,115668.000000,116506.000000,111764.000000,112256.000000,112256.000000,12466500
2021-02-26,112260.000000,113466.000000,109827.000000,110035.000000,110035.000000,14618500
2021-03-01,110036.000000,112445.000000,110036.000000,110335.000000,110335.000000,11239900
2021-03-02,110328.000000,112428.000000,107319.000000,111540.000000,111540.000000,14823200
2021-03-03,111529.000000,112398.000000,107466.000000,111184.000000,111184.000000,15144300
2021-03-04,111191.000000,114433.000000,111163.000000,112690.000000,112690.000000,14221600
2021-03-05,112690.000000,115504.000000,112504.000000,115202.000000,115202.000000,13254800
2021-03-08,115202.000000,115202.000000,110268.000000,110612.000000,110612.000000,0
2021-03-09,110611.000000,112525.000000,109343.000000,111331.000000,111331.000000,12135300
2021-03-10,111331.000000,112928.000000,109999.000000,112776.000000,112776.000000,12511800
2021-03-11,112782.000000,115127.000000,112776.000000,114984.000000,114984.000000,12092100
2021-03-12,114984.000000,114984.000000,113253.000000,114160.000000,114160.000000,8110700
2021-03-15,114093.000000,114903.000000,113635.000000,114851.000000,114851.000000,8224700
2021-03-16,114845.000000,114974.000000,113370.000000,114019.000000,114019.000000,78000
2021-03-17,114018.000000,116736.000000,113428.000000,116549.000000,116549.000000,94300
2021-03-18,116549.000000,116751.000000,114302.000000,114835.000000,114835.000000,9920100
2021-03-19,114837.000000,116446.000000,114610.000000,116222.000000,116222.000000,12341800
2021-03-22,116222.000000,116225.000000,113620.000000,114979.000000,114979.000000,8160600
2021-03-23,114977.000000,115599.000000,113062.000000,113262.000000,113262.000000,8301500
2021-03-24,113272.000000,114823.000000,112064.000000,112064.000000,112064.000000,9834000
2021-03-25,112065.000000,114024.000000,110927.000000,113750.000000,113750.000000,10306500
2021-03-26,113750.000000,115416.000000,113305.000000,114781.000000,114781.000000,8659500
2021-03-29,114776.000000,115553.000000,114096.000000,115419.000000,115419.000000,7463300
2021-03-30,115414.000000,117090.000000,114999.000000,116850.000000,116850.000000,8141600
2021-03-31,116850.000000,117249.000000,115932.000000,116634.000000,116634.000000,10659200
2021-04-01,116644.000000,117088.000000,114991.000000,115253.000000,115253.000000,8009200
2021-04-05,115262.000000,117668.000000,115262.000000,117518.000000,117518.000000,7245100
2021-04-06,117519.000000,118213.000000,117176.000000,117499.000000,117499.000000,6800800
2021-04-07,117499.000000,118303.000000,116748.000000,117624.000000,117624.000000,0
2021-04-08,117624.000000,118850.000000,117486.000000,118313.000000,118313.000000,8778200
2021-04-09,118313.000000,118643.000000,117336.000000,117670.000000,117670.000000,7739400
2021-04-12,117661.000000,118812.000000,117661.000000,118812.000000,118812.000000,7000500
2021-04-13,118809.000000,119529.000000,118041.000000,119297.000000,119297.000000,8977600
2021-04-14,119298.000000,120871.000000,119298.000000,120295.000000,120295.000000,10076600
2021-04-15,120290.000000,121409.000000,120084.000000,120701.000000,120701.000000,7948100
2021-04-16,120701.000000,121333.000000,120199.000000,121114.000000,121114.000000,7945600
2021-04-19,121116.000000,121974.000000,120682.000000,120934.000000,120934.000000,10028100
2021-04-20,120925.000000,121354.000000,119841.000000,120062.000000,120062.000000,7811500
2021-04-22,120064.000000,120995.000000,119203.000000,119371.000000,119371.000000,8598600
2021-04-23,119372.000000,120815.000000,119372.000000,120530.000000,120530.000000,7615500
2021-04-26,120534.000000,121393.000000,119860.000000,120595.000000,120595.000000,7095300
2021-04-27,120595.000000,121012.000000,119003.000000,119388.000000,119388.000000,8362300
2021-04-28,119392.000000,121276.000000,119392.000000,121053.000000,121053.000000,9081500
2021-04-29,121053.000000,121498.000000,119703.000000,120066.000000,120066.000000,8500200
2021-04-30,120064.000000,120125.000000,118894.000000,118894.000000,118894.000000,11093200
2021-05-03,118951.000000,119904.000000,118528.000000,119209.000000,119209.000000,8888300
2021-05-04,119209.000000,119293.000000,117631.000000,117712.000000,117712.000000,8765500
2021-05-05,117725.000000,119734.000000,117725.000000,119564.000000,119564.000000,9059100
2021-05-06,119577.000000,119966.000000,119071.000000,119921.000000,119921.000000,8779600
2021-05-07,119922.000000,122038.000000,119922.000000,122038.000000,122038.000000,8865100
2021-05-10,122038.000000,122772.000000,121795.000000,121909.000000,121909.000000,8219100
2021-05-11,121904.000000,122964.000000,120145.000000,122964.000000,122964.000000,7988600
2021-05-12,122964.000000,122964.000000,119458.000000,119710.000000,119710.000000,9405200
2021-05-13,119711.000000,121426.000000,119711.000000,120706.000000,120706.000000,9356200
2021-05-14,120719.000000,122195.000000,120719.000000,121881.000000,121881.000000,10136300
2021-05-17,121880.000000,123074.000000,121680.000000,122938.000000,122938.000000,7408100
2021-05-18,122937.000000,123544.000000,122550.000000,122980.000000,122980.000000,7840100
2021-05-19,122976.000000,123013.000000,121595.000000,122636.000000,122636.000000,8825300
2021-05-20,122636.000000,122734.000000,122136.000000,122701.000000,122701.000000,7906400
2021-05-21,122701.000000,122799.000000,121760.000000,122592.000000,122592.000000,9493600
2021-05-24,122592.000000,124167.000000,122526.000000,124032.000000,124032.000000,8186300
2021-05-25,124032.000000,124696.000000,122701.000000,122988.000000,122988.000000,8914500
2021-05-26,122988.000000,124256.000000,122988.000000,123989.000000,123989.000000,8258400
2021-05-27,123989.000000,124537.000000,123470.000000,124367.000000,124367.000000,0
2021-05-28,124367.000000,125698.000000,124284.000000,125561.000000,125561.000000,8838500
2021-05-31,125561.000000,126216.000000,125540.000000,126216.000000,126216.000000,5946500
2021-06-01,126218.000000,128363.000000,126218.000000,128267.000000,128267.000000,12496100
2021-06-02,128268.000000,129601.000000,128167.000000,129601.000000,129601.000000,12781100
2021-06-04,129600.000000,130137.000000,129148.000000,130126.000000,130126.000000,9814800
2021-06-07,130125.000000,131190.000000,129498.000000,130776.000000,130776.000000,9655400
2021-06-08,130776.000000,130776.000000,129230.000000,129787.000000,129787.000000,10346600
2021-06-09,129800.000000,130882.000000,129281.000000,129907.000000,129907.000000,9833700
2021-06-10,129911.000000,130527.000000,129526.000000,130076.000000,130076.000000,8537900
2021-06-11,130076.000000,130294.000000,128678.000000,129441.000000,129441.000000,7748200
2021-06-14,129441.000000,131084.000000,129441.000000,130208.000000,130208.000000,8155700
2021-06-15,130208.000000,130436.000000,129304.000000,130091.000000,130091.000000,7211500
2021-06-16,130091.000000,130283.000000,128345.000000,129259.000000,129259.000000,12879400
2021-06-17,129259.000000,129919.000000,127576.000000,128057.000000,128057.000000,9664700
2021-06-18,128050.000000,128796.000000,127595.000000,128405.000000,128405.000000,12432000
